brand,name,slug,local_image_path,approved_image_url,image_storage_path
Mugler,Angel,mugler-angel,approved-images/mugler-angel.jpg,,mugler/mugler-angel.jpg
Guerlain,Mon Guerlain,guerlain-mon-guerlain,approved-images/guerlain-mon-guerlain.jpg,,guerlain/guerlain-mon-guerlain.jpg
Dolce and Gabbana,Light Blue,dolce-and-gabbana-light-blue,approved-images/dolce-and-gabbana-light-blue.jpg,,dolce-and-gabbana/dolce-and-gabbana-light-blue.jpg
Versace,Bright Crystal,versace-bright-crystal,approved-images/versace-bright-crystal.jpg,,versace/versace-bright-crystal.jpg
Givenchy,L Interdit Eau de Parfum,givenchy-l-interdit-eau-de-parfum,approved-images/givenchy-l-interdit-eau-de-parfum.jpg,,givenchy/givenchy-l-interdit-eau-de-parfum.jpg
Maison Francis Kurkdjian,Baccarat Rouge 540,maison-francis-kurkdjian-baccarat-rouge-540,approved-images/maison-francis-kurkdjian-baccarat-rouge-540.jpg,,maison-francis-kurkdjian/maison-francis-kurkdjian-baccarat-rouge-540.jpg
Maison Francis Kurkdjian,Grand Soir,maison-francis-kurkdjian-grand-soir,approved-images/maison-francis-kurkdjian-grand-soir.jpg,,maison-francis-kurkdjian/maison-francis-kurkdjian-grand-soir.jpg
Le Labo,Santal 33,le-labo-santal-33,approved-images/le-labo-santal-33.jpg,,le-labo/le-labo-santal-33.jpg
Byredo,Gypsy Water,byredo-gypsy-water,approved-images/byredo-gypsy-water.jpg,,byredo/byredo-gypsy-water.jpg
Diptyque,Philosykos,diptyque-philosykos,approved-images/diptyque-philosykos.jpg,,diptyque/diptyque-philosykos.jpg
Diptyque,Eau Duelle Eau de Parfum,diptyque-eau-duelle-eau-de-parfum,approved-images/diptyque-eau-duelle-eau-de-parfum.jpg,,diptyque/diptyque-eau-duelle-eau-de-parfum.jpg
Creed,Aventus,creed-aventus,approved-images/creed-aventus.jpg,,creed/creed-aventus.jpg
Creed,Silver Mountain Water,creed-silver-mountain-water,approved-images/creed-silver-mountain-water.jpg,,creed/creed-silver-mountain-water.jpg
Xerjoff,Naxos,xerjoff-naxos,approved-images/xerjoff-naxos.jpg,,xerjoff/xerjoff-naxos.jpg
Parfums de Marly,Delina,parfums-de-marly-delina,approved-images/parfums-de-marly-delina.jpg,,parfums-de-marly/parfums-de-marly-delina.jpg
Amouage,Reflection Man,amouage-reflection-man,approved-images/amouage-reflection-man.jpg,,amouage/amouage-reflection-man.jpg
Amouage,Guidance,amouage-guidance,approved-images/amouage-guidance.jpg,,amouage/amouage-guidance.jpg
Nishane,Hacivat,nishane-hacivat,approved-images/nishane-hacivat.jpg,,nishane/nishane-hacivat.jpg
Initio,Oud for Greatness,initio-oud-for-greatness,approved-images/initio-oud-for-greatness.jpg,,initio/initio-oud-for-greatness.jpg
Frederic Malle,Portrait of a Lady,frederic-malle-portrait-of-a-lady,approved-images/frederic-malle-portrait-of-a-lady.jpg,,frederic-malle/frederic-malle-portrait-of-a-lady.jpg
Kilian Paris,Angels Share,kilian-paris-angels-share,approved-images/kilian-paris-angels-share.jpg,,kilian-paris/kilian-paris-angels-share.jpg
