row_index,brand,name,slug,issue_type,candidate_matches,recommended_next_action,notes
16,Bvlgari,Man in Black,bvlgari-man-in-black,unmatched,,Find a trusted source manually or add a new adapter that can search this perfume safely.,No trusted adapter returned a usable source candidate for this perfume.
19,Chanel,Coco Mademoiselle,chanel-coco-mademoiselle,ambiguous,Parfumo Top Lists:Coco Mademoiselle Eau de Parfum:https://www.parfumo.com/Perfumes/Chanel/Coco_Mademoiselle:0.55 | Parfumo Top Lists:Coco Mademoiselle Eau de Toilette:https://www.parfumo.com/Perfumes/Chanel/Coco_Mademoiselle_Eau_de_Toilette:0.55,Choose the correct trusted source candidate manually or tighten the matching rules.,Multiple low-confidence candidates require manual disambiguation.
20,Chanel,Chance Eau Tendre,chanel-chance-eau-tendre,ambiguous,Parfumo Top Lists:Chance Eau Tendre Eau de Toilette:https://www.parfumo.com/Perfumes/Chanel/Chance_Eau_Tendre_Eau_deToilette:0.55 | Parfumo Top Lists:Chance Eau Tendre Eau de Parfum:https://www.parfumo.com/Perfumes/Chanel/Chance_Eau_Tendre_Eau_de_Parfum:0.55,Choose the correct trusted source candidate manually or tighten the matching rules.,Multiple low-confidence candidates require manual disambiguation.
22,Dior,Miss Dior Eau de Parfum,dior-miss-dior-eau-de-parfum,ambiguous,Parfumo Top Lists:Miss Dior (2021) Eau de Parfum:https://www.parfumo.com/Perfumes/Dior/miss-dior-2021-eau-de-parfum:0.6 | Parfumo Top Lists:Miss Dior (2012) Eau de Parfum:https://www.parfumo.com/Perfumes/Dior/Miss_Dior_Eau_de_Parfum_2012:0.6,Choose the correct trusted source candidate manually or tighten the matching rules.,Multiple low-confidence candidates require manual disambiguation.
25,Prada,Paradoxe,prada-paradoxe,low_confidence,Parfumo Top Lists:Paradoxe Eau de Parfum:https://www.parfumo.com/Perfumes/Prada/paradoxe-eau-de-parfum:0.84,Review the suggested candidate and approve or reject the match before any catalog fields are applied.,Variant-only match after concentration-stripping fallback; manual review required.
26,Lancome,La Vie Est Belle,lancome-la-vie-est-belle,unmatched,,Find a trusted source manually or add a new adapter that can search this perfume safely.,No trusted adapter returned a usable source candidate for this perfume.
27,Carolina Herrera,Good Girl,carolina-herrera-good-girl,low_confidence,Parfumo Top Lists:Good Girl Eau de Parfum:https://www.parfumo.com/Perfumes/Carolina_Herrera/Good_Girl_Eau_de_Parfum:0.84,Review the suggested candidate and approve or reject the match before any catalog fields are applied.,Variant-only match after concentration-stripping fallback; manual review required.
28,Viktor and Rolf,Flowerbomb,viktor-and-rolf-flowerbomb,low_confidence,Parfumo Top Lists:Flowerbomb Eau de Parfum:https://www.parfumo.com/Perfumes/Viktor_Rolf/Flowerbomb:0.84,Review the suggested candidate and approve or reject the match before any catalog fields are applied.,Variant-only match after concentration-stripping fallback; manual review required.
30,Mugler,Alien,mugler-alien,low_confidence,Parfumo Top Lists:Alien Eau de Parfum:https://www.parfumo.com/Perfumes/mugler/Alien:0.84,Review the suggested candidate and approve or reject the match before any catalog fields are applied.,Variant-only match after concentration-stripping fallback; manual review required.
31,Mugler,Angel,mugler-angel,low_confidence,Parfumo Top Lists:Angel Eau de Parfum:https://www.parfumo.com/Perfumes/mugler/Angel:0.84,Review the suggested candidate and approve or reject the match before any catalog fields are applied.,Variant-only match after concentration-stripping fallback; manual review required.
32,Guerlain,Mon Guerlain,guerlain-mon-guerlain,low_confidence,Parfumo Top Lists:Mon Guerlain Eau de Parfum:https://www.parfumo.com/Perfumes/Guerlain/Mon_Guerlain:0.84,Review the suggested candidate and approve or reject the match before any catalog fields are applied.,Variant-only match after concentration-stripping fallback; manual review required.
33,Dolce and Gabbana,Light Blue,dolce-and-gabbana-light-blue,low_confidence,Parfumo Top Lists:Light Blue Eau de Toilette:https://www.parfumo.com/Perfumes/Dolce_Gabbana/light-blue-eau-de-toilette:0.84,Review the suggested candidate and approve or reject the match before any catalog fields are applied.,Variant-only match after concentration-stripping fallback; manual review required.
34,Versace,Bright Crystal,versace-bright-crystal,unmatched,,Find a trusted source manually or add a new adapter that can search this perfume safely.,No trusted adapter returned a usable source candidate for this perfume.
35,Givenchy,L Interdit Eau de Parfum,givenchy-l-interdit-eau-de-parfum,unmatched,,Find a trusted source manually or add a new adapter that can search this perfume safely.,No trusted adapter returned a usable source candidate for this perfume.
36,Maison Francis Kurkdjian,Baccarat Rouge 540,maison-francis-kurkdjian-baccarat-rouge-540,low_confidence,Parfumo Top Lists:Baccarat Rouge 540 Eau de Parfum:https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/Baccarat_Rouge_540_Eau_de_Parfum:0.84,Review the suggested candidate and approve or reject the match before any catalog fields are applied.,Variant-only match after concentration-stripping fallback; manual review required.
37,Maison Francis Kurkdjian,Grand Soir,maison-francis-kurkdjian-grand-soir,low_confidence,Parfumo Top Lists:Grand Soir Eau de Parfum:https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/grand-soir-eau-de-parfum:0.84,Review the suggested candidate and approve or reject the match before any catalog fields are applied.,Variant-only match after concentration-stripping fallback; manual review required.
38,Le Labo,Santal 33,le-labo-santal-33,low_confidence,Parfumo Top Lists:Santal 33 Eau de Parfum:https://www.parfumo.com/Perfumes/Le_Labo/Santal_33_Eau_de_Parfum:0.84,Review the suggested candidate and approve or reject the match before any catalog fields are applied.,Variant-only match after concentration-stripping fallback; manual review required.
39,Byredo,Gypsy Water,byredo-gypsy-water,low_confidence,Parfumo Top Lists:Gypsy Water Eau de Parfum:https://www.parfumo.com/Perfumes/Byredo/Gypsy_Water_Eau_de_Parfum:0.84,Review the suggested candidate and approve or reject the match before any catalog fields are applied.,Variant-only match after concentration-stripping fallback; manual review required.
40,Diptyque,Philosykos,diptyque-philosykos,ambiguous,Parfumo Top Lists:Philosykos Eau de Parfum:https://www.parfumo.com/Perfumes/Diptyque/Philosykos_Eau_de_Parfum:0.55 | Parfumo Top Lists:Philosykos Eau de Toilette:https://www.parfumo.com/Perfumes/Diptyque/Philosykos:0.55,Choose the correct trusted source candidate manually or tighten the matching rules.,Multiple low-confidence candidates require manual disambiguation.
45,Parfums de Marly,Delina,parfums-de-marly-delina,low_confidence,Parfumo Top Lists:Delina Eau de Parfum:https://www.parfumo.com/Perfumes/Parfums_de_Marly/Delina:0.84,Review the suggested candidate and approve or reject the match before any catalog fields are applied.,Variant-only match after concentration-stripping fallback; manual review required.
47,Amouage,Guidance,amouage-guidance,low_confidence,Parfumo Top Lists:Guidance Eau de Parfum:https://www.parfumo.com/Perfumes/Amouage/guidance-eau-de-parfum:0.84,Review the suggested candidate and approve or reject the match before any catalog fields are applied.,Variant-only match after concentration-stripping fallback; manual review required.
49,Initio,Oud for Greatness,initio-oud-for-greatness,low_confidence,Parfumo Top Lists:Oud for Greatness Eau de Parfum:https://www.parfumo.com/Perfumes/Initio/oud-for-greatness-eau-de-parfum:0.84,Review the suggested candidate and approve or reject the match before any catalog fields are applied.,Variant-only match after concentration-stripping fallback; manual review required.
50,Frederic Malle,Portrait of a Lady,frederic-malle-portrait-of-a-lady,unmatched,,Find a trusted source manually or add a new adapter that can search this perfume safely.,No trusted adapter returned a usable source candidate for this perfume.
51,Kilian Paris,Angels Share,kilian-paris-angels-share,unmatched,,Find a trusted source manually or add a new adapter that can search this perfume safely.,No trusted adapter returned a usable source candidate for this perfume.
66,Dior,Dior Addict (2014) Eau de Parfum,dior-dior-addict-2014-eau-de-parfum,ambiguous,Parfumo Top Lists:Dior Addict (2014) Eau de Parfum:https://www.parfumo.com/Perfumes/Dior/Dior_Addict_2014:0.6 | Parfumo Top Lists:Dior Addict (2002) Eau de Parfum:https://www.parfumo.com/Perfumes/Dior/Dior_Addict:0.6 | Parfumo Top Lists:Dior Addict (2012) Eau de Parfum:https://www.parfumo.com/Perfumes/Dior/Dior_Addict_2012:0.6,Choose the correct trusted source candidate manually or tighten the matching rules.,Multiple low-confidence candidates require manual disambiguation.
97,Dior,Dior Addict (2002) Eau de Parfum,dior-dior-addict-2002-eau-de-parfum,ambiguous,Parfumo Top Lists:Dior Addict (2014) Eau de Parfum:https://www.parfumo.com/Perfumes/Dior/Dior_Addict_2014:0.6 | Parfumo Top Lists:Dior Addict (2002) Eau de Parfum:https://www.parfumo.com/Perfumes/Dior/Dior_Addict:0.6 | Parfumo Top Lists:Dior Addict (2012) Eau de Parfum:https://www.parfumo.com/Perfumes/Dior/Dior_Addict_2012:0.6,Choose the correct trusted source candidate manually or tighten the matching rules.,Multiple low-confidence candidates require manual disambiguation.
114,Dior,Dior Homme Intense (2011),dior-dior-homme-intense-2011,ambiguous,Parfumo Top Lists:Dior Homme Intense (2011):https://www.parfumo.com/Perfumes/Dior/Dior_Homme_Intense_2011:0.6 | Parfumo Top Lists:Dior Homme Intense (2007):https://www.parfumo.com/Perfumes/Dior/Dior_Homme_Intense:0.6,Choose the correct trusted source candidate manually or tighten the matching rules.,Multiple low-confidence candidates require manual disambiguation.
137,Valentino,Valentino Uomo Intense (2016),valentino-valentino-uomo-intense-2016,ambiguous,Parfumo Top Lists:Valentino Uomo Intense (2016):https://www.parfumo.com/Perfumes/Valentino/valentino-uomo-intense-2016:0.6 | Parfumo Top Lists:Valentino Uomo Intense:https://www.parfumo.com/Perfumes/Valentino/valentino-uomo-intense:0.6,Choose the correct trusted source candidate manually or tighten the matching rules.,Multiple low-confidence candidates require manual disambiguation.
179,Valentino,Valentino Uomo Intense,valentino-valentino-uomo-intense,ambiguous,Parfumo Top Lists:Valentino Uomo Intense (2016):https://www.parfumo.com/Perfumes/Valentino/valentino-uomo-intense-2016:0.6 | Parfumo Top Lists:Valentino Uomo Intense:https://www.parfumo.com/Perfumes/Valentino/valentino-uomo-intense:0.6,Choose the correct trusted source candidate manually or tighten the matching rules.,Multiple low-confidence candidates require manual disambiguation.
185,Dior,Eau Sauvage Parfum (2017),dior-eau-sauvage-parfum-2017,ambiguous,Parfumo Top Lists:Eau Sauvage Parfum (2017):https://www.parfumo.com/Perfumes/Dior/Eau_Sauvage_Parfum_2017:0.6 | Parfumo Top Lists:Eau Sauvage Parfum (2012):https://www.parfumo.com/Perfumes/Dior/Eau_Sauvage_Parfum:0.6,Choose the correct trusted source candidate manually or tighten the matching rules.,Multiple low-confidence candidates require manual disambiguation.
251,Giorgio Armani,Armani Code (2021) Eau de Parfum,giorgio-armani-armani-code-2021-eau-de-parfum,ambiguous,Parfumo Top Lists:Armani Code (2021) Eau de Parfum:https://www.parfumo.com/Perfumes/Giorgio_Armani/armani-code-2021-eau-de-parfum:0.6 | Parfumo Top Lists:Armani Code (2024) Eau de Parfum:https://www.parfumo.com/Perfumes/Giorgio_Armani/armani-code-2024-eau-de-parfum:0.6,Choose the correct trusted source candidate manually or tighten the matching rules.,Multiple low-confidence candidates require manual disambiguation.
