brand,name,slug,local_image_path,approved_image_url,image_storage_path
Diptyque,Oud Trail 0129,diptyque-oud-trail-0129,approved-images/diptyque-oud-trail-0129.jpg,,diptyque/diptyque-oud-trail-0129.jpg
Yves Saint Laurent,Royal Elixir 0131,yves-saint-laurent-royal-elixir-0131,approved-images/yves-saint-laurent-royal-elixir-0131.jpg,,yves-saint-laurent/yves-saint-laurent-royal-elixir-0131.jpg
Acqua di Parma,Opaline Spirit 0132,acqua-di-parma-opaline-spirit-0132,approved-images/acqua-di-parma-opaline-spirit-0132.jpg,,acqua-di-parma/acqua-di-parma-opaline-spirit-0132.jpg
Parfums de Marly,Midnight Legend 0133,parfums-de-marly-midnight-legend-0133,approved-images/parfums-de-marly-midnight-legend-0133.jpg,,parfums-de-marly/parfums-de-marly-midnight-legend-0133.jpg
Initio,Saffron Whisper 0134,initio-saffron-whisper-0134,approved-images/initio-saffron-whisper-0134.jpg,,initio/initio-saffron-whisper-0134.jpg
Montale,Silk Essence 0136,montale-silk-essence-0136,approved-images/montale-silk-essence-0136.jpg,,montale/montale-silk-essence-0136.jpg
Nishane,Noble Bloom 0137,nishane-noble-bloom-0137,approved-images/nishane-noble-bloom-0137.jpg,,nishane/nishane-noble-bloom-0137.jpg
Memo Paris,Saffron Parfum 0138,memo-paris-saffron-parfum-0138,approved-images/memo-paris-saffron-parfum-0138.jpg,,memo-paris/memo-paris-saffron-parfum-0138.jpg
Frederic Malle,Eclat Bloom 0139,frederic-malle-eclat-bloom-0139,approved-images/frederic-malle-eclat-bloom-0139.jpg,,frederic-malle/frederic-malle-eclat-bloom-0139.jpg
Dior,Noble Bloom 0141,dior-noble-bloom-0141,approved-images/dior-noble-bloom-0141.jpg,,dior/dior-noble-bloom-0141.jpg
Chanel,Royal Eau de Parfum 0142,chanel-royal-eau-de-parfum-0142,approved-images/chanel-royal-eau-de-parfum-0142.jpg,,chanel/chanel-royal-eau-de-parfum-0142.jpg
Xerjoff,Absolu Pulse 0143,xerjoff-absolu-pulse-0143,approved-images/xerjoff-absolu-pulse-0143.jpg,,xerjoff/xerjoff-absolu-pulse-0143.jpg
Lattafa,Absolu Essence 0144,lattafa-absolu-essence-0144,approved-images/lattafa-absolu-essence-0144.jpg,,lattafa/lattafa-absolu-essence-0144.jpg
Tom Ford,Oud Spirit 0146,tom-ford-oud-spirit-0146,approved-images/tom-ford-oud-spirit-0146.jpg,,tom-ford/tom-ford-oud-spirit-0146.jpg
Guerlain,Absolu Veil 0147,guerlain-absolu-veil-0147,approved-images/guerlain-absolu-veil-0147.jpg,,guerlain/guerlain-absolu-veil-0147.jpg
Maison Francis Kurkdjian,Luminous Eau de Parfum 0148,maison-francis-kurkdjian-luminous-eau-de-parfum-0148,approved-images/maison-francis-kurkdjian-luminous-eau-de-parfum-0148.jpg,,maison-francis-kurkdjian/maison-francis-kurkdjian-luminous-eau-de-parfum-0148.jpg
Diptyque,Oud Signature 0149,diptyque-oud-signature-0149,approved-images/diptyque-oud-signature-0149.jpg,,diptyque/diptyque-oud-signature-0149.jpg
Yves Saint Laurent,Silk Code 0151,yves-saint-laurent-silk-code-0151,approved-images/yves-saint-laurent-silk-code-0151.jpg,,yves-saint-laurent/yves-saint-laurent-silk-code-0151.jpg
Acqua di Parma,Oud Legend 0152,acqua-di-parma-oud-legend-0152,approved-images/acqua-di-parma-oud-legend-0152.jpg,,acqua-di-parma/acqua-di-parma-oud-legend-0152.jpg
Parfums de Marly,Saffron Eau de Parfum 0153,parfums-de-marly-saffron-eau-de-parfum-0153,approved-images/parfums-de-marly-saffron-eau-de-parfum-0153.jpg,,parfums-de-marly/parfums-de-marly-saffron-eau-de-parfum-0153.jpg
Initio,Amber Reserve 0154,initio-amber-reserve-0154,approved-images/initio-amber-reserve-0154.jpg,,initio/initio-amber-reserve-0154.jpg
Montale,Noir Code 0156,montale-noir-code-0156,approved-images/montale-noir-code-0156.jpg,,montale/montale-noir-code-0156.jpg
Nishane,Amber Reserve 0157,nishane-amber-reserve-0157,approved-images/nishane-amber-reserve-0157.jpg,,nishane/nishane-amber-reserve-0157.jpg
Memo Paris,Zenith Parfum 0158,memo-paris-zenith-parfum-0158,approved-images/memo-paris-zenith-parfum-0158.jpg,,memo-paris/memo-paris-zenith-parfum-0158.jpg
Frederic Malle,Luminous Legend 0159,frederic-malle-luminous-legend-0159,approved-images/frederic-malle-luminous-legend-0159.jpg,,frederic-malle/frederic-malle-luminous-legend-0159.jpg
Dior,Noir Spirit 0161,dior-noir-spirit-0161,approved-images/dior-noir-spirit-0161.jpg,,dior/dior-noir-spirit-0161.jpg
Chanel,Oud Elixir 0162,chanel-oud-elixir-0162,approved-images/chanel-oud-elixir-0162.jpg,,chanel/chanel-oud-elixir-0162.jpg
Xerjoff,Royal Elixir 0163,xerjoff-royal-elixir-0163,approved-images/xerjoff-royal-elixir-0163.jpg,,xerjoff/xerjoff-royal-elixir-0163.jpg
Lattafa,Absolu Eau de Parfum 0164,lattafa-absolu-eau-de-parfum-0164,approved-images/lattafa-absolu-eau-de-parfum-0164.jpg,,lattafa/lattafa-absolu-eau-de-parfum-0164.jpg
Tom Ford,Oud Reserve 0166,tom-ford-oud-reserve-0166,approved-images/tom-ford-oud-reserve-0166.jpg,,tom-ford/tom-ford-oud-reserve-0166.jpg
Guerlain,Velvet Spirit 0167,guerlain-velvet-spirit-0167,approved-images/guerlain-velvet-spirit-0167.jpg,,guerlain/guerlain-velvet-spirit-0167.jpg
Maison Francis Kurkdjian,Noir Edition 0168,maison-francis-kurkdjian-noir-edition-0168,approved-images/maison-francis-kurkdjian-noir-edition-0168.jpg,,maison-francis-kurkdjian/maison-francis-kurkdjian-noir-edition-0168.jpg
Diptyque,Opaline Bloom 0169,diptyque-opaline-bloom-0169,approved-images/diptyque-opaline-bloom-0169.jpg,,diptyque/diptyque-opaline-bloom-0169.jpg
Yves Saint Laurent,Aura Nectar 0171,yves-saint-laurent-aura-nectar-0171,approved-images/yves-saint-laurent-aura-nectar-0171.jpg,,yves-saint-laurent/yves-saint-laurent-aura-nectar-0171.jpg
Acqua di Parma,Noir Reserve 0172,acqua-di-parma-noir-reserve-0172,approved-images/acqua-di-parma-noir-reserve-0172.jpg,,acqua-di-parma/acqua-di-parma-noir-reserve-0172.jpg
Parfums de Marly,Eclat Signature 0173,parfums-de-marly-eclat-signature-0173,approved-images/parfums-de-marly-eclat-signature-0173.jpg,,parfums-de-marly/parfums-de-marly-eclat-signature-0173.jpg
Initio,Intense Elixir 0174,initio-intense-elixir-0174,approved-images/initio-intense-elixir-0174.jpg,,initio/initio-intense-elixir-0174.jpg
Montale,Intense Edition 0176,montale-intense-edition-0176,approved-images/montale-intense-edition-0176.jpg,,montale/montale-intense-edition-0176.jpg
