brand,name,slug,image_source_url,image_storage_path,image_public_url,imageUrl
Diptyque,Aura Pulse 0029,diptyque-aura-pulse-0029,,diptyque/diptyque-aura-pulse-0029.jpg,,
Yves Saint Laurent,Eclat Trail 0031,yves-saint-laurent-eclat-trail-0031,,yves-saint-laurent/yves-saint-laurent-eclat-trail-0031.jpg,,
Acqua di Parma,Mystic Fusion 0032,acqua-di-parma-mystic-fusion-0032,,acqua-di-parma/acqua-di-parma-mystic-fusion-0032.jpg,,
Parfums de Marly,Opaline Spirit 0033,parfums-de-marly-opaline-spirit-0033,,parfums-de-marly/parfums-de-marly-opaline-spirit-0033.jpg,,
Initio,Eclat Pulse 0034,initio-eclat-pulse-0034,,initio/initio-eclat-pulse-0034.jpg,,
Montale,Solar Trail 0036,montale-solar-trail-0036,,montale/montale-solar-trail-0036.jpg,,
Nishane,Saffron Essence 0037,nishane-saffron-essence-0037,,nishane/nishane-saffron-essence-0037.jpg,,
Memo Paris,Velvet Legend 0038,memo-paris-velvet-legend-0038,,memo-paris/memo-paris-velvet-legend-0038.jpg,,
Frederic Malle,Eclat Edition 0039,frederic-malle-eclat-edition-0039,,frederic-malle/frederic-malle-eclat-edition-0039.jpg,,
Dior,Velvet Signature 0041,dior-velvet-signature-0041,,dior/dior-velvet-signature-0041.jpg,,
Chanel,Noir Pulse 0042,chanel-noir-pulse-0042,,chanel/chanel-noir-pulse-0042.jpg,,
Xerjoff,Noir Veil 0043,xerjoff-noir-veil-0043,,xerjoff/xerjoff-noir-veil-0043.jpg,,
Lattafa,Oud Legend 0044,lattafa-oud-legend-0044,,lattafa/lattafa-oud-legend-0044.jpg,,
Tom Ford,Solar Reserve 0046,tom-ford-solar-reserve-0046,,tom-ford/tom-ford-solar-reserve-0046.jpg,,
Guerlain,Silk Signature 0047,guerlain-silk-signature-0047,,guerlain/guerlain-silk-signature-0047.jpg,,
Maison Francis Kurkdjian,Absolu Code 0048,maison-francis-kurkdjian-absolu-code-0048,,maison-francis-kurkdjian/maison-francis-kurkdjian-absolu-code-0048.jpg,,
Diptyque,Noble Essence 0049,diptyque-noble-essence-0049,,diptyque/diptyque-noble-essence-0049.jpg,,
Yves Saint Laurent,Noir Code 0051,yves-saint-laurent-noir-code-0051,,yves-saint-laurent/yves-saint-laurent-noir-code-0051.jpg,,
